,composer,title,count
53,Franz Schubert,Impromptu Op. 90 No. 4 in A-flat Major,231
54,Franz Schubert,Impromptu Op. 90 No. 4 in A-flat Major,186
55,Franz Schubert,Impromptu Op. 90 No. 4 in A-flat Major,106
56,Franz Schubert,Impromptu Op. 90 No. 4 in A-flat Major,236
57,Franz Schubert,Impromptu Op. 90 No. 4 in A-flat Major,251
58,Franz Schubert,"Moment Musical Op. 94 No. 4 in C-sharp Minor, D780",77
59,Franz Schubert,"Moment Musical Op. 94 No. 4, in C-sharp Minor, D780",146
60,Franz Schubert,"Sonata in A Major, D. 664 (Complete)",122
61,Franz Schubert,"Sonata in A Major, D. 664, I. Allegro moderato",89
62,Franz Schubert,"Sonata in A Major, Op. 120, I. Allegro moderato",98
63,Franz Schubert,"Sonata in A Minor, D. 537, I. Allegro ma non troppo",165
64,Franz Schubert,"Sonata in A Minor, D784",38
65,Franz Schubert,"Sonata in C Major, D840",161
66,Franz Schubert,"Sonata in C Major, D841",125
67,Franz Schubert,"Sonata in C Major, D843",306
68,Franz Schubert,"Sonata in C major, D. 840 (Complete)",144
69,Franz Schubert,Valse-Caprice No. 6 from Soirees de Vienne,11
70,Franz Schubert,Wanderer Fantasy,300
71,Franz Schubert / Franz Liszt,Gretchen am Spinnrade,257
72,Franz Schubert / Franz Liszt,"Song Transcriptions: Aufenthalt, Gretchen am Spinnrade, Standchen von Shakespeare, Der Erlkonig",231
73,Franz Schubert / Franz Liszt,"Song Transcriptions: Aufenthalt, Gretchen am Spinnrade, Standchen von Shakespeare, Der Erlkonig",81
74,Frédéric Chopin,Etude Op. 10 No. 12,185
75,Frédéric Chopin,Etude Op. 10 No. 12,228
76,Frédéric Chopin,Etude Op. 10 No. 12,199
77,Frédéric Chopin,Etude Op. 10 No. 12,185
78,Frédéric Chopin,Etude Op. 10 No. 12 in C Minor,246
79,Frédéric Chopin,Etudes Op. 10 Nos. 9,125
80,Frédéric Chopin,Nocturne Op. 15 No. 1 in F Major,198
81,Frédéric Chopin,Nocturne Op. 27 No. 1 in C-sharp Minor,150
82,Frédéric Chopin,"Nocturne in B Major, Op. 9, No. 3",140
83,Frédéric Chopin,"Nocturne in B Major, Op. 9, No. 3",191
84,Frédéric Chopin,"Nocturne in C-sharp Minor, Op. 27 No. 1",137
85,Frédéric Chopin,"Nocturne in F-sharp Major, Op. 15, No. 2",126
86,Frédéric Chopin,Polonaise Op. 26 in E-flat Minor,295
87,Frédéric Chopin,Polonaise Op. 44,257
88,Frédéric Chopin,Polonaise Op. 53 in A-flat Major,183
89,Frédéric Chopin,Polonaise Op. 53 in A-flat Major,281
90,Frédéric Chopin,Polonaise-Fantasie,54
91,Frédéric Chopin,Polonaise-Fantasie Op. 61,242
92,Frédéric Chopin,"Polonaise-Fantasie, Op. 61",343
93,Frédéric Chopin,"Polonaise-Fantasie, Op. 61",309
94,Frédéric Chopin,"Rondo in C Minor, Op. 1",181
95,Frédéric Chopin,"Rondo in C minor, Op. 1",213
96,Frédéric Chopin,"Sonata No. 2 in B-flat Minor, Op. 35",265
97,Frédéric Chopin,"Sonata No. 2 in B-flat Minor, Op. 35",232
98,Frédéric Chopin,"Valse brillante No. 1 in A-flat Major, Op. 34",230
99,Johann Sebastian Bach,"Overture in the French Style in B Minor, BWV 831",149
100,Johann Sebastian Bach,"Prelude and Fuge in G-sharp Minor, WTC I, BWV 863",84
101,Johann Sebastian Bach,"Prelude and Fugue in  F-sharp Major, WTC I , BWV 858",26
102,Johann Sebastian Bach,"Prelude and Fugue in A-flat Major, WTC I",129
103,Johann Sebastian Bach,"Prelude and Fugue in A-flat Major, WTC I, BWV 862",146
104,Johann Sebastian Bach,"Prelude and Fugue in B-Moll, No. 22 WTKII",115
105,Johann Sebastian Bach,"Prelude and Fugue in B-flat Minor, WTC II",146
106,Johann Sebastian Bach,"Prelude and Fugue in C-sharp Minor, WTC II",160
107,Johann Sebastian Bach,"Prelude and Fugue in D Major, WTC I, BWV 850",125
108,Johann Sebastian Bach,"Prelude and Fugue in D Major, WTC I, BWV 850",113
109,Johann Sebastian Bach,"Prelude and Fugue in D major, WTC I",81
110,Johann Sebastian Bach,"Prelude and Fugue in D-sharp Minor, WTC II, BWV 877",58
111,Johann Sebastian Bach,"Prelude and Fugue in E Minor WTC I, BWV 855",225
112,Johann Sebastian Bach,"Prelude and Fugue in F-sharp Major, WTC I, BWV 858",79
113,Johann Sebastian Bach,"Prelude and Fugue in G-sharp Minor, WTC I, BWV 863",68
114,Johann Sebastian Bach,"Prelude and Fugue in G-sharp Minor, WTC I, BWV 863",79
115,Johann Sebastian Bach,"Prelude and Fugue in G-sharp Minor, WTC I, BWV 863",89
116,Johannes Brahms,"Sonata 2 F-sharp Minor, Op. 2",226
117,Joseph Haydn,"Sonata E-Flat Major, Hob. XVI:49, First Movement",205
118,Joseph Haydn,"Sonata in C Minor, First Movement",115
119,Joseph Haydn,"Sonata in C Minor, Hob. XVI:20, 1st mov.",114
120,Joseph Haydn,"Sonata in C Minor, Hob. XVI:20, 1st mov.",118
121,Joseph Haydn,"Sonata in D Major, Hob. XVI:24",144
122,Joseph Haydn,"Sonata in E flat Major, Hob. XVI: 49, I. Allegro",151
123,Joseph Haydn,"Sonata in G Major, Hob. XVI:6, First Movement",154
124,Ludwig van Beethoven,"Rondo a capriccioso ""Rage over a Lost Penny"", Op. 129",239
125,Ludwig van Beethoven,"Rondo, Op. 129",231
126,Ludwig van Beethoven,"Sonata No. 10 in G Major, Op. 14 No. 2, First Movement",114
127,Ludwig van Beethoven,"Sonata No. 12 in A-flat Major, Op. 26, First Movement",102
128,Ludwig van Beethoven,"Sonata No. 15 in D Major, Op. 28, I. Allegro",172
129,Ludwig van Beethoven,"Sonata No. 16 Op. 31 No. 1 in G Major, I. Allegro vivace",103
130,Ludwig van Beethoven,"Sonata No. 16 Op. 31 No. 1 in G Major, I. Allegro vivace",95
131,Ludwig van Beethoven,"Sonata No. 16 in G Major, Op. 31 No. 1, First Movement",94
132,Ludwig van Beethoven,"Sonata No. 16 in G Major, Op. 31 No. 1, First movement",106
133,Ludwig van Beethoven,"Sonata No. 16 in G Major, Op. 31 No. 1, I. and II. ",97
134,Ludwig van Beethoven,"Sonata No. 18 in E-flat Major, Op. 31 No. 3, First Movement",169
135,Ludwig van Beethoven,"Sonata No. 18 in E-flat Major, Op. 31 No. 3, First Movement",171
136,Ludwig van Beethoven,"Sonata No. 18 in E-flat Major, Op. 31, No. 3 (Complete)",157
137,Ludwig van Beethoven,"Sonata No. 18, Op. 31 No. 3 in E-flat Major, I. Allegro",161
138,Ludwig van Beethoven,"Sonata No. 3 in C Major, Op. 2 No. 3, First Movement",126
139,Ludwig van Beethoven,"Sonata No. 3 in C Major, Op. 2 No. 3, I. Allegro con brio",117
140,Ludwig van Beethoven,"Sonata No. 3 in C Major, Op. 2 No. 3, I. and II. ",115
141,Ludwig van Beethoven,"Sonata No. 3, Op. 2 No. 3 in C major, I. Allegro con brio",108
142,Ludwig van Beethoven,"Sonata No. 5 in C Minor, Op. 10 No. 1, First Movement",92
143,Ludwig van Beethoven,"Sonata No. 5 in C Minor, Op. 10 No. 1, I. Allegro molto e con brio",173
144,Ludwig van Beethoven,"Sonata No. 8 in C Minor, Op.13",130
145,Ludwig van Beethoven,"Sonata Op. 31, No. 3 in E-flat Major",176
146,Ludwig van Beethoven,"Sonata in C Major, Op. 2 No. 3, 1st mov.",124
147,Ludwig van Beethoven,"Sonata in E Major, Op. 14, No. 1",59
148,Richard Wagner / Franz Liszt,IsoldasLiebestod,280
149,Richard Wagner / Franz Liszt,Isolde's Liebestod,318
150,Robert Schumann,"Gesänge der Frühe, Op. 133",179
151,Robert Schumann,"Intermezzi, Opus 4",121
152,Robert Schumann,"Romances Op. 28, Nos. 2 and 3",207
153,Robert Schumann,Toccata Op. 7,334
154,Robert Schumann,"Toccata in C Major, Op. 7",343
155,Robert Schumann,"Toccata in C Major, Op. 7",373
156,Robert Schumann,"Toccata in C Major, Opus 7",377
157,Robert Schumann,"Toccata in C, Op. 7",348
158,Sergei Rachmaninoff,Etude Tableau Op. 39 No. 5,115
159,Sergei Rachmaninoff,Etude Tableaux Op. 39 No. 1 in C Minor,258
160,Sergei Rachmaninoff,"Etude-Tableau in C Minor, Op. 39, No. 1",252
161,Sergei Rachmaninoff,"Etude-Tableau in E-flat Minor, op. 39 No. 5",154
162,Sergei Rachmaninoff,Etude-Tableaux Op. 39 No. 5,291
163,Sergei Rachmaninoff,Etude-Tableaux Op. 39 No. 5 in E-flat Minor,257
164,Sergei Rachmaninoff,"Etude-Tableaux, Opus 39 No. 8 in D Minor",235
165,Sergei Rachmaninoff,Etudes-Tableaux,261
166,Sergei Rachmaninoff,Prelude Op. 23 No. 6 in E-flat Major,100
167,Sergei Rachmaninoff,Prelude Op. 32 No. 8 in A Minor,165
168,Sergei Rachmaninoff,"Prelude Op. 32, No. 10",104
169,Sergei Rachmaninoff,"Prelude in G-Sharp Minor,Op. 32 No. 12",195
170,Wolfgang Amadeus Mozart,"Rondo in A Minor,  K. 511",102
171,Wolfgang Amadeus Mozart,"Sonata in B-flat Major, K 333, First Movement",144
172,Wolfgang Amadeus Mozart,"Sonata in B-flat Major, K. 333, 1st mov.",141
173,Wolfgang Amadeus Mozart,"Sonata in B-flat Major, K. 333, I. Allegro",139
174,Wolfgang Amadeus Mozart,"Sonata in F Major, K. 280, 1st mov.",127
175,Wolfgang Amadeus Mozart,"Sonata in F Major, K280",144
176,Wolfgang Amadeus Mozart,"Sonata in F Major, K280",55
