,composer_name,canonical_name,fastest_intervals,number_of_notes
125,Franz Liszt,"Concert Etude ""La Leggierezza""","(166, 181.0)",441
126,Franz Liszt,"Concert Etude ""Un Sospiro""","(141, 156.0)",230
127,Franz Liszt,"Concert Etude No. 2 La Leggierezza, S. 144","(158, 173.0)",419
128,Franz Liszt,"Concert Etude No. 2, ""La Leggierezza"", S. 144/2","(157, 172.0)",384
129,Franz Liszt,"Concert Etude No. 2, ""La Leggierezza"", S. 144/2","(147, 162.0)",415
130,Franz Liszt,"Concert Etude No. 2, “La leggierezza"", S. 144","(155, 170.0)",374
131,Franz Liszt,"Concert Etude No. 3 in D-flat Major, ""Un Sospiro"", S. 144/3","(135, 150.0)",258
132,Franz Liszt,"Concert Etude No. 3 in D-flat Major, ""Un Sospiro"", S. 144/3","(140, 155.0)",246
133,Franz Liszt,Dante Sonata,"(157, 172.0)",462
134,Franz Liszt,Dante Sonata,"(143, 158.0)",425
135,Franz Liszt,Dante Sonata,"(209, 224.0)",457
136,Franz Liszt,Dante Sonata,"(144, 159.0)",465
137,Franz Liszt,Dante Sonata,"(143, 158.0)",514
138,Franz Liszt,"Grandes Etudes de Paganini, S. 141","(915, 930.0)",413
139,Franz Liszt,"Grandes ètudes de Paganini No. 3 ""La Campanella"", S. 141","(240, 255.0)",449
140,Franz Liszt,"Grandes ètudes de Paganini No. 3 ""La Campanella"", S. 141","(256, 271.0)",474
141,Franz Liszt,"Grandes ètudes de Paganini No. 3 La Campanella, S. 141","(241, 256.0)",543
142,Franz Liszt,"Grandes études de Paganini, No. 3 ""La campanella"", S.141/3","(256, 271.0)",444
143,Franz Liszt,"Grandes études de Paganini, No. 3 ""La campanella"", S.141/3","(244, 259.0)",498
144,Franz Liszt,"Grandes études de Paganini, No. 3 ""La campanella"", S.141/3","(263, 278.0)",454
145,Franz Liszt,"Hungarian Rhapsody No. 10 in E-flat Major, S. 244/10","(297, 312.0)",346
146,Franz Liszt,"Hungarian Rhapsody No. 10, S. 244/10","(259, 274.0)",362
147,Franz Liszt,"Hungarian Rhapsody No. 6, S.244/6","(423, 438.0)",449
148,Franz Liszt,"Hungarian Rhapsody No. 6, S.244/6","(369, 384.0)",474
149,Franz Liszt,Mephisto Waltz,"(473, 488.0)",397
150,Franz Liszt,Mephisto Waltz No. 1,"(605, 620.0)",491
151,Franz Liszt,Mephisto Waltz No. 1,"(667, 682.0)",463
152,Franz Liszt,Mephisto Waltz No. 1,"(498, 513.0)",480
153,Franz Liszt,Mephisto Waltz No. 1,"(78, 93.0)",512
154,Franz Liszt,"Mephisto Waltz No. 1, S.514","(660, 675.0)",520
155,Franz Liszt,"Mephisto Waltz No. 1, S.514","(82, 97.0)",444
156,Franz Liszt,Mephisto-Waltz No. 1,"(620, 635.0)",559
157,Franz Liszt,"Paganini Etude No. 3, S. 141/3 ""La Campanella""","(233, 248.0)",509
158,Franz Liszt,"Paganini Etude No. 3, S. 141/3 ""La Campanella""","(252, 267.0)",492
159,Franz Liszt,"Paraphrase de concert sur Rigoletto, S.434","(399, 414.0)",391
160,Franz Liszt,Polonaise in E Major,"(211, 226.0)",383
161,Franz Liszt,Rhapsodie Espagnole,"(244, 259.0)",489
162,Franz Liszt,Rhapsodie Espagnole,"(268, 283.0)",492
163,Franz Liszt,Rhapsodie Espagnole S.254,"(595, 610.0)",454
164,Franz Liszt,"Rhapsodie Espagnole, S. 254","(281, 296.0)",472
165,Franz Liszt,"Rhapsodie Espagnole, S. 254","(609, 624.0)",438
166,Franz Liszt,"Rhapsodie Espagnole, S. 254","(216, 231.0)",496
167,Franz Liszt,"Rhapsodie Espagnole, S. 254","(270, 285.0)",462
168,Franz Liszt,"Rhapsodie Espagnole, S.254","(614, 629.0)",443
169,Franz Liszt,Rhapsody Esp.,"(224, 239.0)",529
170,Franz Liszt,Rhapsody Esp.,"(595, 610.0)",479
171,Franz Liszt,Rigoletto Paraphrase,"(304, 319.0)",435
172,Franz Liszt,"Rigoletto Paraphrase, S. 434","(359, 374.0)",456
173,Franz Liszt,Rigoletto-Paraphrase,"(330, 345.0)",460
174,Franz Liszt,"Sonata In B Minor, S. 178","(1465, 1480.0)",511
175,Franz Liszt,Sonata in B Min.,"(1513, 1528.0)",481
176,Franz Liszt,Sonata in B Min.,"(1208, 1223.0)",598
177,Franz Liszt,"Sonata in B Minor, S. 178","(1453, 1468.0)",508
178,Franz Liszt,"Sonata in B Minor, S. 178","(1463, 1478.0)",473
179,Franz Liszt,"Sonata in B Minor, S. 178","(1503, 1518.0)",473
180,Franz Liszt,"Sonata in B Minor, S. 178","(1300, 1315.0)",553
181,Franz Liszt,Sonetto 104 del Petrarca,"(181, 196.0)",206
182,Franz Liszt,Sonetto 104 del Petrarca,"(177, 192.0)",222
183,Franz Liszt,Spanish Rhapsody,"(222, 237.0)",516
184,Franz Liszt,Spanish Rhapsody,"(285, 300.0)",490
185,Franz Liszt,Tarantella,"(526, 541.0)",496
186,Franz Liszt,Tarantella from Annees de Pelerinage 2eme Annee,"(514, 529.0)",532
187,Franz Liszt,"Tarantella, S. 162 No. 3 from Venezia e Napoli","(469, 484.0)",460
188,Franz Liszt,"Tarantella, Venezia e Napoli in G Minor, S.159","(488, 503.0)",491
189,Franz Liszt,"Transcendental Etude No. 2, “Molto vivace""","(108, 123.0)",405
190,Franz Liszt,"Transcendental Etude No. 4 ""Mazeppa""","(267, 282.0)",396
191,Franz Liszt,"Transcendental Etude No. 4, ""Mazeppa""","(399, 414.0)",434
192,Franz Liszt,"Transcendental Etude No. 5 ""Feux Follets""","(51, 66.0)",378
193,Franz Liszt,"Transcendental Etude No. 5 ""Feux Follets""","(154, 169.0)",381
194,Franz Liszt,"Transcendental Etude No. 5 ""Feux Follets""","(43, 58.0)",383
195,Franz Liszt,"Transcendental Etude No. 5 “Feux Follets,” S.139, No. 5","(47, 62.0)",375
196,Franz Liszt,"Transcendental Etude No. 5, ""Feux Follets"", S. 139/5","(47, 62.0)",409
197,Franz Liszt,"Trois Etudes de Concert ""La leggierezza"", S.144","(167, 182.0)",369
198,Franz Liszt,"Valse de l'opera Faust de Charles Gounod, S.407","(514, 529.0)",449
199,Franz Liszt,"Valse de l'opera Faust de Charles Gounod, S.407","(532, 547.0)",431
200,Franz Liszt,Venezia e Napoli,"(147, 162.0)",261
201,Franz Liszt,Venezia e Napoli,"(274, 289.0)",323
202,Franz Liszt,Venezia e Napoli,"(383, 398.0)",490
203,Franz Liszt,"Venezia e Napoli, S. 162","(973, 988.0)",535
204,Franz Liszt,"Venezia e Napoli, S.162 (Complete)","(1017, 1032.0)",527
205,Franz Liszt,"Études d'exécution transcendante, No. 4, ""Mazeppa"" S.139/4","(377, 392.0)",430
206,Franz Liszt,"Études d'exécution transcendante, No. 4, ""Mazeppa"" S.139/4","(373, 388.0)",413
207,Franz Liszt,"Études d'exécution transcendante, No. 5, ""Feux follets"" S.139/5","(47, 62.0)",353
208,Franz Liszt / Camille Saint-Saëns,Danse Macabre S555/R240,"(460, 475.0)",462
209,Franz Schubert,Impromptu Op. 142 No. 1 F Minor,"(70, 85.0)",249
210,Franz Schubert,Impromptu Op. 142 No. 1 in F Minor,"(430, 445.0)",258
211,Franz Schubert,"Impromptu Op. 142 No. 1 in F Minor, D. 935","(365, 380.0)",264
212,Franz Schubert,"Impromptu Op. 142 No. 1 in F Minor, D. 935","(110, 125.0)",275
213,Franz Schubert,"Impromptu Op. 142 No. 1 in F Minor, D935","(354, 369.0)",248
214,Franz Schubert,"Impromptu Op. 142 No. 1, in F Minor, D935","(105, 120.0)",271
215,Franz Schubert,"Impromptu Op. 142 No. 3 in B-Flat Major, D935","(558, 573.0)",229
216,Franz Schubert,Impromptu Op. 142 No. 3 in B-flat Major,"(316, 331.0)",222
217,Franz Schubert,Impromptu Op. 142 No. 3 in B-flat Major,"(590, 605.0)",234
218,Franz Schubert,Impromptu Op. 142 No. 3 in B-flat Major,"(590, 605.0)",225
219,Franz Schubert,Impromptu Op. 142 No. 3 in B-flat Major,"(387, 402.0)",205
220,Franz Schubert,"Impromptu Op. 142 No. 3 in B-flat Major, D. 935","(574, 589.0)",216
221,Franz Schubert,"Impromptu Op. 142 No. 3 in B-flat Major, D. 935","(465, 480.0)",220
222,Franz Schubert,"Impromptu Op. 142 No. 3 in B-flat Major, D935","(551, 566.0)",251
223,Franz Schubert,"Impromptu Op. 142 No. 3 in B-flat Major, D935","(365, 380.0)",232
224,Franz Schubert,"Impromptu Op. 142 No. 3 in B-flat Major, D935","(179, 194.0)",224
225,Franz Schubert,"Impromptu Op. 142 No. 3 in B-flat Major, D935","(601, 616.0)",226
226,Franz Schubert,"Impromptu Op. 142 No. 3, in B-Flat Major, D935","(453, 468.0)",254
227,Franz Schubert,"Impromptu Op. 142 No. 3, in B-Flat Major, D935","(610, 625.0)",211
228,Franz Schubert,"Impromptu Op. 142 No. 3, in B-Flat Major, D935","(311, 326.0)",241
229,Franz Schubert,"Impromptu Op. 142 No. 3, in B-Flat Major, D935","(311, 326.0)",227
230,Franz Schubert,Impromptu Op. 90 No. 1,"(318, 333.0)",282
231,Franz Schubert,Impromptu Op. 90 No. 1 in C Minor,"(296, 311.0)",282
232,Franz Schubert,Impromptu Op. 90 No. 1 in C Minor,"(300, 315.0)",317
233,Franz Schubert,"Impromptu Op. 90 No. 1 in C Minor, D. 899","(319, 334.0)",274
234,Franz Schubert,"Impromptu Op. 90 No. 1, in C Minor, D899","(317, 332.0)",221
235,Franz Schubert,"Impromptu Op. 90 No. 1, in C Minor, D899","(319, 334.0)",280
236,Franz Schubert,Impromptu Op. 90 No. 2,"(207, 222.0)",293
237,Franz Schubert,Impromptu Op. 90 No. 2 E-flat Major,"(248, 263.0)",279
238,Franz Schubert,Impromptu Op. 90 No. 2 in E-flat Major,"(259, 274.0)",245
239,Franz Schubert,Impromptu Op. 90 No. 2 in E-flat Major,"(271, 286.0)",239
240,Franz Schubert,"Impromptu Op. 90 No. 2 in E-flat Major, D. 899","(272, 287.0)",253
241,Franz Schubert,"Impromptu Op. 90 No. 2 in E-flat Major, D899","(251, 266.0)",252
242,Franz Schubert,Impromptu Op. 90 No. 3 in G-flat,"(80, 95.0)",157
243,Franz Schubert,Impromptu Op. 90 No. 3 in G-flat Major,"(109, 124.0)",126
244,Franz Schubert,Impromptu Op. 90 No. 3 in G-flat Major,"(176, 191.0)",130
245,Franz Schubert,Impromptu Op. 90 No. 3 in G-flat Major,"(165, 180.0)",133
246,Franz Schubert,Impromptu Op. 90 No. 3 in G-flat Major,"(83, 98.0)",152
247,Franz Schubert,Impromptu Op. 90 No. 3 in G-flat Major,"(176, 191.0)",133
248,Franz Schubert,"Impromptu Op. 90 No. 3 in G-flat Major, D. 899","(174, 189.0)",133
249,Franz Schubert,"Impromptu Op. 90 No. 3 in G-flat Major, D. 899","(153, 168.0)",149
250,Franz Schubert,"Impromptu Op. 90 No. 3 in G-flat Major, D899","(102, 117.0)",127
251,Franz Schubert,"Impromptu Op. 90 No. 3, in G-flat Major, D899","(89, 104.0)",149
252,Franz Schubert,"Impromptu Op. 90 No. 3, in G-flat Major, D899","(112, 127.0)",178
253,Franz Schubert,"Impromptu Op. 90, No. 3, in G-flat Major, D899","(265, 280.0)",150
254,Franz Schubert,"Impromptu Op.142 No.3, in B-Flat Major, D935","(357, 372.0)",217
255,Franz Schubert,Impromptus Op. 90,"(259, 274.0)",255
256,Franz Schubert,"Impromptus Op. 90, No. 3","(97, 112.0)",131
257,Franz Schubert,Son. in Bb D.960,"(354, 369.0)",308
258,Franz Schubert,Son. in Bb D.960,"(640, 655.0)",304
259,Franz Schubert,Son. in Bb D.960,"(387, 402.0)",323
260,Franz Schubert,Son. in Bb D.961,"(251, 266.0)",156
261,Franz Schubert,Son. in Bb D.961,"(233, 248.0)",138
262,Franz Schubert,Son. in Bb D.961,"(307, 322.0)",137
263,Franz Schubert,Son. in Bb D.962,"(614, 629.0)",292
264,Franz Schubert,Son. in Bb D.962,"(755, 770.0)",289
265,Franz Schubert,Son. in Bb D.962,"(704, 719.0)",321
266,Franz Schubert,Sonata in A D959,"(248, 263.0)",286
267,Franz Schubert,Sonata in A D959,"(250, 265.0)",281
268,Franz Schubert,Sonata in A D959,"(262, 277.0)",304
269,Franz Schubert,Sonata in A D960,"(229, 244.0)",304
270,Franz Schubert,Sonata in A D960,"(218, 233.0)",340
271,Franz Schubert,Sonata in A D960,"(186, 201.0)",291
272,Franz Schubert,Sonata in A D961,"(854, 869.0)",275
273,Franz Schubert,Sonata in A D961,"(26, 41.0)",238
274,Franz Schubert,Sonata in A D961,"(801, 816.0)",250
275,Franz Schubert,Sonata in A D962,"(608, 623.0)",271
276,Franz Schubert,"Sonata in A Major, D. 959 (Complete)","(258, 273.0)",290
277,Franz Schubert,"Sonata in A Major, D. 959 (Complete)","(261, 276.0)",267
278,Franz Schubert,"Sonata in A Major, D. 959 (Complete)","(1164, 1179.0)",334
279,Franz Schubert,"Sonata in A Major, D959","(247, 262.0)",313
280,Franz Schubert,Sonata in A Min.,"(243, 258.0)",199
281,Franz Schubert,Sonata in A Min.,"(684, 699.0)",240
282,Franz Schubert,Sonata in A Min.,"(123, 138.0)",206
283,Franz Schubert,Sonata in A Min.,"(291, 306.0)",278
284,Franz Schubert,Sonata in A Min.,"(66, 81.0)",216
285,Franz Schubert,Sonata in A Min.,"(584, 599.0)",246
286,Franz Schubert,Sonata in A Min.,"(107, 122.0)",204
287,Franz Schubert,Sonata in A Min.,"(256, 271.0)",304
288,Franz Schubert,"Sonata in A Minor, D. 845","(56, 71.0)",229
289,Franz Schubert,"Sonata in A Minor, D. 846","(304, 319.0)",264
290,Franz Schubert,"Sonata in A Minor, D. 847","(264, 279.0)",188
291,Franz Schubert,"Sonata in A Minor, D. 848","(276, 291.0)",294
292,Franz Schubert,"Sonata in A Minor, D845","(1829, 1844.0)",281
293,Franz Schubert,"Sonata in A minor, D. 845 (Complete)","(945, 960.0)",365
294,Franz Schubert,Sonata in B-flat Major D. 960,"(622, 637.0)",293
295,Franz Schubert,Sonata in B-flat Major D. 961,"(238, 253.0)",128
296,Franz Schubert,Sonata in B-flat Major D. 962,"(155, 170.0)",299
297,Franz Schubert,Sonata in B-flat Major D. 963,"(134, 149.0)",307
298,Franz Schubert,"Sonata in B-flat Major, D. 960","(659, 674.0)",279
299,Franz Schubert,"Sonata in B-flat Major, D. 960 (Complete)","(624, 639.0)",288
300,Franz Schubert,"Sonata in B-flat Major, D. 960 (Complete)","(1947, 1962.0)",317
301,Franz Schubert,"Sonata in B-flat Major, D. 961","(262, 277.0)",119
302,Franz Schubert,"Sonata in B-flat Major, D. 962","(46, 61.0)",306
303,Franz Schubert,"Sonata in B-flat Major, D. 963","(500, 515.0)",281
304,Franz Schubert,"Sonata in B-flat Major, D960","(627, 642.0)",305
305,Franz Schubert,"Sonata in B-flat Major, D960","(227, 242.0)",131
306,Franz Schubert,"Sonata in B-flat Major, D960","(52, 67.0)",284
307,Franz Schubert,"Sonata in B-flat Major, D960","(440, 455.0)",292
308,Franz Schubert,"Sonata in B-flat Major, D960","(428, 443.0)",302
309,Franz Schubert,"Sonata in B-flat Major, D960","(226, 241.0)",135
310,Franz Schubert,"Sonata in B-flat Major, D960","(49, 64.0)",269
311,Franz Schubert,"Sonata in B-flat Major, D960","(470, 485.0)",281
312,Franz Schubert,"Sonata in B-flat Major, D960","(2546, 2561.0)",305
313,Franz Schubert,"Sonata in B-flat Major, D960","(1802, 1817.0)",323
314,Franz Schubert,"Sonata in C  Minor, D. 958","(176, 191.0)",261
315,Franz Schubert,"Sonata in C  Minor, D. 959","(144, 159.0)",250
316,Franz Schubert,"Sonata in C  Minor, D. 960","(1, 16.0)",190
317,Franz Schubert,"Sonata in C  Minor, D. 961","(120, 135.0)",399
318,Franz Schubert,"Sonata in C Minor, D. 958","(183, 198.0)",254
319,Franz Schubert,"Sonata in C Minor, D. 958","(23, 38.0)",224
320,Franz Schubert,"Sonata in C Minor, D. 958 (Complete)","(1387, 1402.0)",326
321,Franz Schubert,"Sonata in C Minor, D. 958 (Complete)","(1369, 1384.0)",334
322,Franz Schubert,"Sonata in C Minor, D. 959","(152, 167.0)",256
323,Franz Schubert,"Sonata in C Minor, D. 959","(183, 198.0)",232
324,Franz Schubert,"Sonata in C Minor, D. 960","(4, 19.0)",212
325,Franz Schubert,"Sonata in C Minor, D. 960","(3, 18.0)",210
326,Franz Schubert,"Sonata in C Minor, D. 961","(119, 134.0)",345
327,Franz Schubert,"Sonata in C Minor, D. 961","(432, 447.0)",319
328,Franz Schubert,"Sonata in C Minor, D958","(133, 148.0)",222
329,Franz Schubert,"Sonata in C Minor, D958","(366, 381.0)",227
330,Franz Schubert,"Sonata in C Minor, D958","(623, 638.0)",312
331,Franz Schubert,"Sonata in C Minor, D958","(174, 189.0)",257
332,Franz Schubert,"Sonata in C Minor, D958","(330, 345.0)",271
333,Franz Schubert,"Sonata in C Minor, D958","(588, 603.0)",368
334,Franz Schubert,"Sonata in C Minor, D958","(178, 193.0)",249
335,Franz Schubert,"Sonata in C Minor, D958","(323, 338.0)",265
336,Franz Schubert,"Sonata in C Minor, D958","(121, 136.0)",232
337,Franz Schubert,"Sonata in C Minor, D958","(125, 140.0)",339
338,Franz Schubert,"Sonata in C Minor, D958","(1617, 1632.0)",347
339,Franz Schubert,"Sonata in C Minor, D958","(1343, 1358.0)",323
340,Franz Schubert,"Sonata in C Minor, D958","(1518, 1533.0)",362
341,Franz Schubert,"Sonata in C Minor, D958","(1635, 1650.0)",323
342,Franz Schubert,"Sonata in D Major, D. 850 (Complete)","(21, 36.0)",279
